Sample,avg_point_spatial,Eucl_spatial,A-Inhab_spatial,unique_spatial,avg_point_temp,Eucl_temp,unique_temp,avg_point_fair,Eucl_fair,unique_fair
6,24.5,2.5,405385,2134,170.7,87.0,294,41.2,3.0,1228
10,38.0,7.8,587505,2523,194.1,75.0,480,65.3,3.0,1407
20,59.5,5.7,887330,2836,214.6,80.4,943,87.7,3.1,1828
30,81.7,3.7,1299755,2900,169.4,72.2,1635,115.1,1.7,2163
40,111.8,16.6,1629115,2906,166.5,50.0,1960,136.7,1.4,2365
50,140.8,23.6,2026995,2912,179.7,51.8,2232,162.2,1.4,2415
100,271.3,9.8,3369775,2915,315.8,68.1,2400,303.1,1.8,2692
278,730.0,17.0,8471845,2915,730.0,17.0,2915,730.0,17.0,2915
