Sample,avg_point_spatial,Eucl_spatial,A-Inhab_spatial,unique_spatial,avg_point_temp,Eucl_temp,unique_temp,avg_point_fair,Eucl_fair,unique_fair
2,17.2,69.4,131030,906,1456.4,83.4,12,25.6,3.2,588
4,24,60.1,254895,1471,588,42.4,39,41.2,4,833
6,25.7,37,340020,1864,713,29.8,39,50.7,3.6,1051
8,30.9,40.5,440670,2174,821,23.8,39,58.6,2.7,1134
10,37.6,28.4,490920,2349,899.1,20.4,39,77.8,2.6,1182
15,48.2,22,615080,2602,210.4,33.8,235,123.9,2.7,1213
20,62.7,21.5,794975,2674,444.3,17.3,235,162.3,2.4,1259
25,73.1,23.9,924030,2690,646.4,8.3,235,203.6,2.5,1263
30,88.6,30,1028815,2696,496.3,5.8,401,239.1,1.9,1332
35,106.5,32.7,1146970,2703,620.1,9.7,401,267.2,1.9,1366
40,122.6,39.8,1339395,2711,595.9,11.2,516,258,2.3,1549
45,134.9,27.8,1482450,2711,588.5,9,614,254.6,2.5,1678
50,152,20.2,1540165,2711,687.2,8.5,614,281.1,2.6,1678
60,181.7,33.3,1912925,2711,784.6,9.5,666,278.9,3.2,1989
70,208.7,27.9,2086305,2711,940.6,6.2,666,307,2.8,2048
80,230.4,21.2,2239230,2711,946.3,4.9,734,328.6,3,2127
90,268,22.2,2792540,2711,964.2,8.6,791,325.5,1.5,2323
100,291.1,19.1,3017885,2711,987.9,23.7,847,364.4,1.3,2337
278,847.8,19,7827745,2711,847.8,19,2711,847.8,19,2711
